category_slug,name,emoji,retail_price,quantity,variant,default_line_text,tags
otomobil,Renault Yeni Clio (1.2),🚗,1830000,,icten_0_1400,İlk sıfır arabam,kendim
otomobil,Renault Duster (1.2),🚙,1865000,,icten_0_1400,Ailemize yeni arabamız,aile
otomobil,Renault Clio (1.0),🚗,1750000,,icten_0_1400,,
otomobil,Renault Megane E-Tech (Elektrikli),🔋,2386000,,ev_lte160,,
otomobil,Renault Megane Sedan (1.3),🚗,2199000,,icten_0_1400,,
otomobil,Fiat Egea Sedan (1.6 Dizel),🚗,1499900,,icten_1400_1600,İlk sıfır arabam,kendim
otomobil,Fiat Egea Urban (1.6 Otomatik),🚗,1951900,,icten_1400_1600,,
otomobil,Fiat Grande Panda (Elektrikli),🔋,1609000,,ev_lte160,,
otomobil,Fiat 500e (Elektrikli),🔋,2249900,,ev_lte160,,
otomobil,Toyota Corolla (1.5),🚗,2284000,,icten_1400_1600,,
otomobil,Toyota Corolla Hibrit (1.8),🚗,2808000,,hev_50kw_1800,,
otomobil,Toyota Yaris Hibrit (1.5),🚗,2245000,,hev_50kw_1800,,
otomobil,Dacia Sandero Stepway (1.0 LPG),🚗,1786000,,icten_0_1400,,
otomobil,Dacia Yeni Logan (1.0 LPG),🚗,1709000,,icten_0_1400,,
otomobil,Hyundai i20 (1.0),🚗,1470000,,icten_0_1400,Kızıma ilk arabası,cocuk
otomobil,Hyundai i30 (1.6),🚗,1944000,,icten_1400_1600,,
otomobil,Hyundai IONIQ 6 (Elektrikli),🔋,2374000,,ev_lte160,,
otomobil,Kia Ceed (1.5),🚗,2070000,,icten_1400_1600,,
otomobil,Kia EV3 (Elektrikli 150 kW),🔋,2485000,,ev_lte160,,
otomobil,Togg T10X V1 RWD (Elektrikli),🔋,1909048,,ev_lte160,,
telefon,iPhone 15 128 GB,📱,50000,,,Oğluma ilk telefonu,cocuk;dogum-gunu
telefon,iPhone 15 256 GB,📱,58403,,,,
telefon,iPhone 15 512 GB,📱,99999,,,,
telefon,iPhone 16 128 GB,📱,65000,,,,
telefon,iPhone 17 512 GB,📱,93000,,,,
telefon,iPhone 17 Pro Max 256 GB,📱,122000,,,,
telefon,iPhone 17 Pro Max 512 GB,📱,132000,,,,
telefon,Samsung Galaxy S25 FE 256 GB,📱,36000,,,,
